NOM,devoir
NOM,neo
ADJ,classique
NOM,mode
VER:pres,prendre
NOM,quartier
NOM,automne
VER:pres,centre
ADJ,canadien
NOM,lieu
VER:pper,rêver
NOM,éternel
ADJ,classique
VER:pper,traverser
NOM,air
NOM,temps
VER:pres,empreindre
NOM,modernité
VER:pres,stvle
NOM,individualité
VER:pres,idée
NOM,rélégance
ADJ,mh
VER:infi,adopter
NOM,photo
ADJ,monic
NOM,richard
NOM,mmm
ADJ,ig
ADJ,ptni
NOM,ip
VER:pres,silhouetter
NOM,saison
VER:pper,styler
NOM,corps
NOM,dandy
NOM,lady
ADJ,savant
VER:pres,mélanger
NOM,rigueur
NOM,fluidité
VER:pper,créer
NOM,hélène
NOM,barbeau
NOM,revenge
ADV,dolce
VER:simp,donner
NOM,crêpe
NOM,laine
ADJ,marron
VER:pper,composer
NOM,redingote
VER:pper,ponctuer
VER:pres,bouter
NOM,pantalon
VER:pper,fuseler
NOM,fluidité
NOM,chemisier
NOM,col
VER:pper,volanter
VER:pres,crêper
NOM,soie
ADJ,petit
NOM,pois
VER:pper,associer
VER:pres,écharper
NOM,soie
ADJ,blanc
VER:pper,rayer|rayer
ADJ,griffé
NOM,laurel
NOM,ii
ADJ,pwgj
VER:simp,ss
NOM,sés
VER:pper,rire
ADJ,foisr
NOM,sèm
ADJ,sbpfc
ADJ,hjteêê
NOM,iy
NOM,yc
ADJ,kaki
ADJ,bleu
VER:pres,ardoiser
ADJ,gauche
NOM,association
ADJ,personnel
NOM,couleur
VER:infi,donner
NOM,envie
VER:infi,délaisser
ADJ,noir
ADJ,marin
NOM,jour
NOM,manteau
ADJ,militaire
NOM,carrure
VER:pper,parfaire
VER:pres,mélanger
NOM,laine
ADJ,vierge
VER:pper,signer
NOM,jean
NOM,claude
VER:futu,poitras
ADJ,ogilvy
NOM,redingote
VER:pres,lainer
NOM,col
VER:pper,arrondir
VER:pper,orner
ADJ,large
NOM,bouton
ADJ,métallique
VER:pper,créer
NOM,laurèl
VER:pper,porter
NOM,pantalon
VER:pres,lainer
VER:pper,griffer
NOM,teenflo
ADV,dolce
VER:simp,donner
NOM,cleo
ADJ,maud
VER:pres,écharper
NOM,laine
NOM,motif
NOM,cachemire
VER:pper,dessiner
ADJ,sybille
NOM,landurie
NOM,holt
NOM,renfrew
VER:pres,botter
NOM,cuir
NOM,cognac
VER:pper,tirer
NOM,collection
ADJ,joan
NOM,david
